2025-10-08 00:02:25 - sinamics_diag - INFO - Application started
2025-10-08 00:02:25 - sinamics_diag - INFO - User action: app_start - Model: diag/models/sinamics_model.json, User: admin
2025-10-08 00:02:26 - sinamics_diag - INFO - User action: start_scenario - DC-Link aging chain started
2025-10-08 00:02:30 - sinamics_diag - INFO - User action: component_click - Component: Motor
2025-10-08 00:06:11 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'alarm', 'data': {'id': 'A05030', 'desc': 'DC link voltage high', 'component': 'dc_link', 'severity': 'medium', 'timestamp': '2025-10-08T00:06:11.426146'}}
2025-10-08 00:06:11 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'alarm', 'data': {'id': 'A05030', 'desc': 'DC link voltage high', 'component': 'dc_link', 'severity': 'medium', 'timestamp': '2025-10-08T00:06:11.535561'}}
2025-10-08 00:06:11 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'alarm', 'data': {'id': 'A05030', 'desc': 'DC link voltage high', 'component': 'dc_link', 'severity': 'medium', 'timestamp': '2025-10-08T00:06:11.640643'}}
2025-10-08 00:06:11 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'alarm', 'data': {'id': 'A05030', 'desc': 'DC link voltage high', 'component': 'dc_link', 'severity': 'medium', 'timestamp': '2025-10-08T00:06:11.744214'}}
2025-10-08 00:06:11 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'alarm', 'data': {'id': 'A05030', 'desc': 'DC link voltage high', 'component': 'dc_link', 'severity': 'medium', 'timestamp': '2025-10-08T00:06:11.848304'}}
2025-10-08 00:06:11 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'alarm', 'data': {'id': 'A05030', 'desc': 'DC link voltage high', 'component': 'dc_link', 'severity': 'medium', 'timestamp': '2025-10-08T00:06:11.952931'}}
2025-10-08 00:06:12 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'alarm', 'data': {'id': 'A05030', 'desc': 'DC link voltage high', 'component': 'dc_link', 'severity': 'medium', 'timestamp': '2025-10-08T00:06:12.065023'}}
2025-10-08 00:06:12 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'alarm', 'data': {'id': 'A05030', 'desc': 'DC link voltage high', 'component': 'dc_link', 'severity': 'medium', 'timestamp': '2025-10-08T00:06:12.174862'}}
2025-10-08 00:06:12 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'alarm', 'data': {'id': 'A05030', 'desc': 'DC link voltage high', 'component': 'dc_link', 'severity': 'medium', 'timestamp': '2025-10-08T00:06:12.276675'}}
2025-10-08 00:06:12 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'alarm', 'data': {'id': 'A05030', 'desc': 'DC link voltage high', 'component': 'dc_link', 'severity': 'medium', 'timestamp': '2025-10-08T00:06:12.380053'}}
2025-10-08 00:06:12 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'alarm', 'data': {'id': 'A05030', 'desc': 'DC link voltage high', 'component': 'dc_link', 'severity': 'medium', 'timestamp': '2025-10-08T00:06:12.485622'}}
2025-10-08 00:06:12 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'alarm', 'data': {'id': 'A05030', 'desc': 'DC link voltage high', 'component': 'dc_link', 'severity': 'medium', 'timestamp': '2025-10-08T00:06:12.591174'}}
